,_id,article_title,article_url,authors,categories,comment_count,created_time,main_category,message,post_id,reactions,tags,message_sentiment,article_title_sentiment
10,{u'$oid': u'58bd41d59ff1026d58d7f069'},Game of Clones – the dating show of your creepiest dreams,https://www.theguardian.com/tv-and-radio/2017/feb/27/game-of-clones-the-dating-show-of-your-creepiest-dreams?CMP=fb_gu,[Stuart Heritage],"[home, television, tv & radio, culture]",115,2017-02-27T17:00:04+0000,tv-and-radio,"""However you package it, dating is a long, flat slog that’s boring to experience and even more boring to watch. Some things you just can’t choose.""",10513336322_10155127390796323,"{u'love': 7, u'like': 199, u'total_count': 265, u'angry': 2, u'haha': 35, u'sad': 3, u'thankful': 0, u'wow': 19}","[Television, Dating, features]",-0.2787,0.4019
11,{u'$oid': u'58bd41d59ff1026d58d7f06a'},The parallels between Scottish nationalism and racism are clear,https://www.theguardian.com/commentisfree/2017/feb/27/parallels-scottish-nationalism-racism-sadiq-khan?CMP=fb_gu,[Claire Heuchan],"[home, scottish independence, opinion]",452,2017-02-27T16:40:01+0000,commentisfree,"""The mythos of Scotland as a friendly, compassionate country is maintained with fervour – like any other fairytale, it needs heroes and villains. And Scottish exceptionalism – the idea of Scotland as a land of tolerance – is a fairytale. It is what allows Scotland to hold England accountable for all the wrongs of imperial expansion while denying this country’s own colonial legacy.""",10513336322_10155127677071323,"{u'love': 19, u'like': 858, u'total_count': 1193, u'angry': 201, u'haha': 86, u'sad': 9, u'thankful': 0, u'wow': 20}","[Scottish independence, Opinion, Scottish National party (SNP), Race issues, Sadiq Khan, Scottish politics, Scotland, comment]",0.244766666667,-0.3612
12,{u'$oid': u'58bd41d59ff1026d58d7f06b'},"Check if your London nursery, school or college is exposed to toxic air",https://www.theguardian.com/environment/2017/feb/27/check-if-your-london-nursery-school-or-college-is-exposed-to-toxic-air?CMP=fb_gu,[Matthew Taylor],"[environment, home, pollution]",25,2017-02-27T16:20:01+0000,environment,"Tens of thousands of children at more than 800 schools, nurseries and colleges in London are being exposed to illegal levels of air pollution – is yours one of them?",10513336322_10155127514511323,"{u'love': 1, u'like': 80, u'total_count': 103, u'angry': 5, u'haha': 2, u'sad': 9, u'thankful': 0, u'wow': 6}","[Pollution, London, Schools, Colleges, Further education, news]",-0.5994,-0.0772
13,{u'$oid': u'58bd41d59ff1026d58d7f06c'},The Oscars mix-up matters because this night was always about racial bias,https://www.theguardian.com/commentisfree/2017/feb/27/oscars-mix-up-matters-racial-bias?CMP=fb_gu,[Suzanne Moore],"[oscars 2017, home, opinion]",68,2017-02-27T16:00:04+0000,commentisfree,"""This was a night that belonged not to those who got the wrong envelope but those who pushed the envelope. A brilliant win, make no mistake.""",10513336322_10155127314016323,"{u'love': 53, u'like': 886, u'total_count': 967, u'angry': 2, u'haha': 20, u'sad': 2, u'thankful': 0, u'wow': 4}","[Oscars 2017, First thoughts, Race issues, Moonlight, La La Land, Society
(Books), comment]",0.24445,-0.0772
14,{u'$oid': u'58bd41d59ff1026d58d7f06d'},Just who are these 300 'scientists' telling Trump to burn the climate?,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2017/feb/27/just-who-are-these-300-scientists-telling-trump-to-burn-the-climate?CMP=fb_gu,[John Abraham],"[environment, home, climate change scepticism, climate change]",216,2017-02-27T15:40:00+0000,environment,"""If you read the headlines, it might have seemed impressive: '300 Scientists Tell Trump to Leave UN Climate Agreement.' Wow, 300 scientists. That’s a lot right? Actually, it’s a pitiful list.""",10513336322_10155127172176323,"{u'love': 31, u'like': 3879, u'total_count': 6306, u'angry': 1431, u'haha': 610, u'sad': 186, u'thankful': 0, u'wow': 169}","[Climate change scepticism, Climate Consensus - the 97%, Climate change
(Environment), Climate change
(Science), Donald Trump, blogposts]",0.142175,0.0
16,{u'$oid': u'58bd41d59ff1026d58d7f06f'},A retirement home for lesbians? Where do I sign up?,https://www.theguardian.com/commentisfree/2017/feb/27/retirement-home-lesbians-val-mcdermid?CMP=fb_gu,[Val McDermid],"[home, lgbt rights, opinion]",56,2017-02-27T15:00:04+0000,commentisfree,"""It seems profoundly wrong to me that after a lifetime of struggling to be accepted and to be open about who we are that we face being pushed back into the closet. Heaven knows, age comes with its indignities; this shouldn’t be one of them.""",10513336322_10155127028746323,"{u'love': 61, u'like': 708, u'total_count': 777, u'angry': 0, u'haha': 2, u'sad': 1, u'thankful': 0, u'wow': 5}","[LGBT rights, Opinion, Older people, Retirement planning, comment]",-0.03765,0.0
18,{u'$oid': u'58bd41d59ff1026d58d7f071'},Don't let that Oscars blunder overshadow Moonlight's monumental achievement,https://www.theguardian.com/film/filmblog/2017/feb/27/dont-let-that-oscars-blunder-overshadow-moonlights-monumental-achievement?CMP=fb_gu,[Steve Rose],"[oscars 2017, home, film, culture]",59,2017-02-27T14:30:01+0000,film,"""It’s such a brave, fresh piece of work. Brave in its three-act, three-actor structure. Brave in its deconstruction and reappropriation of African-American stereotypes. Brave in its suggestion that humiliation and repression lie often beneath the carapace of masculine swagger. Brave in its soundtrack, its lighting, the way its swooning dreamy mood could take in harsh social realism, too. It’s a unique, complete work of art – and the Academy is notoriously bad at recognising those.""",10513336322_10155127370281323,"{u'love': 380, u'like': 3209, u'total_count': 3612, u'angry': 2, u'haha': 7, u'sad': 0, u'thankful': 0, u'wow': 14}","[Oscars 2017, Film blog, Oscars, Barry Jenkins, Awards and prizes, La La Land, Brokeback Mountain, blogposts]",0.14825,0.0
19,{u'$oid': u'58bd41d59ff1026d58d7f072'},Copeland was an easy sprint. Theresa May now faces a muddy marathon,https://www.theguardian.com/commentisfree/2017/feb/26/copeland-sprint-theresa-may-muddy-marathon-brexit?CMP=fb_gu,[Anne McElvoy],"[home, conservatives, opinion]",32,2017-02-27T14:16:29+0000,commentisfree,"""The tests of the prime minister’s strengths are yet to come"".",10513336322_10155126896411323,"{u'love': 3, u'like': 84, u'total_count': 95, u'angry': 2, u'haha': 6, u'sad': 0, u'thankful': 0, u'wow': 0}","[Conservatives, Opinion, Theresa May, EU referendum and Brexit, European Union, Byelections, comment]",0.4019,0.2202
21,{u'$oid': u'58bd41d59ff1026d58d7f074'},They’re not lies: Donald Trump wills his ‘truth’ into our reality,https://www.theguardian.com/commentisfree/2017/feb/27/not-lies-donald-trump-truth-norman-vincent-peale?CMP=fb_gu,[Carl Cederström],"[home, trump administration, opinion]",99,2017-02-27T13:40:00+0000,commentisfree,"""For Trump, truth is subordinate to attitude, an attitude that can be modified at will.""",10513336322_10155126860811323,"{u'love': 4, u'like': 237, u'total_count': 474, u'angry': 155, u'haha': 55, u'sad': 10, u'thankful': 0, u'wow': 13}","[Trump administration, Opinion, Donald Trump, US politics, comment]",0.3182,0.3252
22,{u'$oid': u'58bd41d59ff1026d58d7f075'},Strawberry deals forever? British fruit in shops two months early,https://www.theguardian.com/lifeandstyle/2017/feb/27/strawberry-deals-forever-british-fruit-in-shops-two-months-early?CMP=fb_gu,[Caroline Davies],"[food, home, fruit, lifestyle]",15,2017-02-27T13:30:01+0000,lifeandstyle,"The strawberry season was only six weeks long 25 years ago, but industry investment has extended this by up to nine months.",10513336322_10155127213546323,"{u'love': 0, u'like': 26, u'total_count': 30, u'angry': 1, u'haha': 1, u'sad': 1, u'thankful': 0, u'wow': 1}","[Fruit, Supermarkets, Retail industry, Summer food and drink, Farming, Food & drink, news]",0.0,0.0
